Tiempo,medio,temperatura,pH,Act. (U/L),%color
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
0,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,0,
10,PD,24,5.5,6.36923077,
10,PD,24,5.5,6.64615385,
10,PD,24,5.5,10.5230769,
18,PD,24,5.5,0,
18,PD,24,5.5,0,
18,PD,24,5.5,0,
18,PD,24,5.5,0,
18,PD,24,5.5,0,
18,PD,24,5.5,0,
18,PD,24,5.5,40.7076923,
18,PD,24,5.5,41.2615385,
18,PD,24,5.5,50.1230769,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
0,PD,30,5.5,0,
10,PD,30,5.5,50.6769231,
10,PD,30,5.5,53.7230769,
10,PD,30,5.5,54,
10,PD,30,5.5,0,
10,PD,30,5.5,0,
10,PD,30,5.5,0,
10,PD,30,5.5,0,
10,PD,30,5.5,0,
10,PD,30,5.5,0,
18,PD,30,5.5,22.9846154,
18,PD,30,5.5,29.3538462,
18,PD,30,5.5,14.9538462,
18,PD,30,5.5,0,
18,PD,30,5.5,0,
18,PD,30,5.5,0,
18,PD,30,5.5,40.9846154,
18,PD,30,5.5,45.6923077,
18,PD,30,5.5,35.7230769,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
0,PD,24,6.8,0,
10,PD,24,6.8,37.3846154,
10,PD,24,6.8,44.3076923,
10,PD,24,6.8,42.3692308,
10,PD,24,6.8,24.9230769,
10,PD,24,6.8,31.0153846,
10,PD,24,6.8,26.3076923,
10,PD,24,6.8,12.1846154,
10,PD,24,6.8,8.58461538,
10,PD,24,6.8,13.8461538,
18,PD,24,6.8,20.4369231,
18,PD,24,6.8,22.8969231,
18,PD,24,6.8,31.4123077,
18,PD,24,6.8,1.93846154,
18,PD,24,6.8,1.66153846,
18,PD,24,6.8,1.66153846,
18,PD,24,6.8,0,
18,PD,24,6.8,6.36923077,
18,PD,24,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
0,PD,30,6.8,0,
10,PD,30,6.8,0.83076923,
10,PD,30,6.8,1.93846154,
10,PD,30,6.8,1.10769231,
10,PD,30,6.8,0,
10,PD,30,6.8,0,
10,PD,30,6.8,0.27692308,
10,PD,30,6.8,0,
10,PD,30,6.8,0,
10,PD,30,6.8,0,
18,PD,30,6.8,49.8461538,
18,PD,30,6.8,8.30769231,
18,PD,30,6.8,30.4615385,
18,PD,30,6.8,0,
18,PD,30,6.8,11.0769231,
18,PD,30,6.8,5.53846154,
18,PD,30,6.8,0,
18,PD,30,6.8,0,
18,PD,30,6.8,2.76923077,
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
0,vinaza,24,5.5,0,0
7,vinaza,24,5.5,207.692308,0
7,vinaza,24,5.5,41.5384615,0
7,vinaza,24,5.5,193.846154,0
7,vinaza,24,5.5,41.5384615,0
7,vinaza,24,5.5,96.9230769,0
7,vinaza,24,5.5,0,0
7,vinaza,24,5.5,138.461538,0
7,vinaza,24,5.5,0,0
7,vinaza,24,5.5,110.769231,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
14,vinaza,24,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
0,vinaza,30,5.5,0,0
7,vinaza,30,5.5,132.923077,25.63157895
7,vinaza,30,5.5,110.769231,25.92783505
7,vinaza,30,5.5,132.923077,18.84908984
7,vinaza,30,5.5,137.461538,10.87470449
7,vinaza,30,5.5,72,16.41456583
7,vinaza,30,5.5,110.769231,17.40316421
7,vinaza,30,5.5,675.692308,20.78225336
7,vinaza,30,5.5,708.923077,23.41024198
7,vinaza,30,5.5,664.615385,27.6322822
14,vinaza,30,5.5,204.9230769,33.52631579
14,vinaza,30,5.5,238.1538462,38.04123711
14,vinaza,30,5.5,343.3846154,28.126835
14,vinaza,30,5.5,376.6153846,20.80378251
14,vinaza,30,5.5,376.6153846,25.93837535
14,vinaza,30,5.5,354.4615385,27.71412984
14,vinaza,30,5.5,1545.230769,0
14,vinaza,30,5.5,1440,3.376477209
14,vinaza,30,5.5,1368,6.574024586
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
0,vinaza,24,6.8,0,0
7,vinaza,24,6.8,249.230769,0
7,vinaza,24,6.8,13.8461538,0
7,vinaza,24,6.8,124.615385,0
7,vinaza,24,6.8,263.076923,0
7,vinaza,24,6.8,110.769231,0
7,vinaza,24,6.8,235.384615,0
7,vinaza,24,6.8,27.6923077,0
7,vinaza,24,6.8,180,0
7,vinaza,24,6.8,124.615385,0
14,vinaza,24,6.8,0,8.43373494
14,vinaza,24,6.8,0,9.722222222
14,vinaza,24,6.8,0,9.900990099
14,vinaza,24,6.8,0,17.37323358
14,vinaza,24,6.8,0,18.3908046
14,vinaza,24,6.8,0,12.56239601
14,vinaza,24,6.8,0,0
14,vinaza,24,6.8,0,0
14,vinaza,24,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
0,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
7,vinaza,30,6.8,0,0
14,vinaza,30,6.8,1030.15385,0
14,vinaza,30,6.8,1091.07692,0
14,vinaza,30,6.8,991.384615,0
14,vinaza,30,6.8,747.692308,0
14,vinaza,30,6.8,636.923077,0
14,vinaza,30,6.8,620.307692,0
14,vinaza,30,6.8,1395.69231,0
14,vinaza,30,6.8,1235.07692,0
14,vinaza,30,6.8,1224,0