,Factor 1,Factor 2,Factor 3,Response 1
1,32,6,20,19.24
2,32,6,10,10.25
3,32,6,30,1.293
4,32,5,20,11.35
5,32,6,20,17.29
6,36,5,10,11.07
7,32,6,30,1.189
8,36,7,30,0.252
9,28,7,30,15.07
10,36,7,10,0.032
11,32,6,20,16.18
12,28,5,10,0.126
13,28,7,10,2.723
14,32,6,20,19.14
15,28,5,30,0.284
16,28,6,20,3.722
17,28,6,20,3.627
18,32,6,10,9.935
19,36,5,10,15.74
20,36,6,20,0.158
21,28,5,30,0.788
22,36,7,30,0.221
23,36,7,10,0.032
24,32,6,20,16.04
25,36,5,30,7.664
26,36,6,20,0.307
27,32,7,20,1.189
28,32,7,20,3.406
29,36,5,30,6.686
30,32,5,20,12.55
31,28,7,10,5.362
32,28,6,20,4.037
33,28,7,10,2.807
34,36,7,10,0.063
35,36,6,20,0.189
36,32,7,20,2.397
37,32,5,20,14.7
38,32,6,10,11.35
39,36,7,30,0.252
40,36,5,10,13.22
41,28,5,30,0.599
42,28,7,30,13.18
43,28,5,10,0.063
44,32,6,20,17.76
45,32,6,30,0.944
46,36,5,30,4.371
47,28,5,10,0.095
48,28,7,30,14.95